number of nodes = 22, graph = [(15, 21), (15, 14), (15, 0), (21, 6), (21, 18), (7, 17), (7, 20), (7, 18), (17, 20), (17, 19), (6, 8), (6, 10), (20, 0), (12, 16), (12, 9), (12, 11), (16, 5), (16, 13), (5, 19), (5, 3), (4, 18), (4, 8), (4, 10), (9, 14), (9, 13), (14, 2), (19, 1), (2, 1), (2, 10), (0, 3), (8, 3), (1, 11), (13, 11)], number of qubits = 21, optimal cost = 15.003814826466634, optimal nodes sets = [(0, 1, 5, 7, 8, 10, 12, 13, 14, 17, 21), (2, 3, 4, 6, 9, 11, 15, 16, 18, 19, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.003814826466634, ground state = 001110100101000110111, degeneracy of optimal solutions = 1, first excited energy = -14.496189327930153, gap = 0.5076254985364805, first excited state = 001100001111000110111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.1692572389341, sdp lower bound ground energy = -15.1692572389341, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["110001001010111001100", "110001011010111001100", "111001011010110101100", "111001011110110101100", "110001001010111101100", "110001011010111101100", "111001011111000111100", "001110110101000111010", "001110110101000111110", "101000011111000111110", "110001001010111100101", "001110100101000110011", "001110110101000110011", "001110100000110100111", "001110100001000110111", "001110000101000110111", "001110100101000110111", "001110110101000110111", "001100001111000110111", "001110100101000111111"]
-7.859937677789738
0.41508796466065173 15
0.36928126902705566 15 14
0.00525727510864793 15 0
0.005693814204703385 6
0.31982854476697836 18
0.11906155376043626 7 17
0.30796421732910517 7 20
0.0663596357030139 7 18
0.35699564255609606 17 20
0.05489835028259166 17 19
0.1567643073757541 6 8
0.14531132029561328 6 10
0.16650255301253403 20 0
0.20751586290006668 12 16
0.011386138370973686 12 9
0.4549839252638319 12 11
0.11305230262929145 16 5
0.2382880971539894 16 13
0.3930769884511158 5 19
0.28952804571633567 5 3
0.2389687107959853 4 18
0.37444620025703274 4 8
0.4878658183825701 4 10
0.1304826916621789 9 14
0.1539793067071883 9 13
0.4448785801380129 14 2
0.2554379721560925 19 1
0.11219196622265709 2 1
0.17766744312052968 2 10
0.4192477697413016 0 3
0.309420202738993 8 3
0.1039111977121372 1 11
0.4546020095862725 13 11
