number of nodes = 22, graph = [(15, 21), (15, 1), (15, 3), (21, 2), (21, 13), (6, 18), (6, 19), (6, 2), (18, 7), (18, 2), (16, 20), (16, 0), (16, 10), (20, 7), (20, 19), (7, 11), (4, 12), (4, 14), (4, 17), (12, 8), (12, 9), (3, 10), (3, 13), (10, 11), (13, 9), (8, 9), (8, 14), (5, 19), (5, 1), (5, 17), (0, 14), (0, 17), (1, 11)], number of qubits = 21, optimal cost = 15.119160304351817, optimal nodes sets = [(1, 3, 9, 11, 12, 14, 16, 17, 18, 19, 20, 21), (0, 2, 4, 5, 6, 7, 8, 10, 13, 15)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.119160304351817, ground state = 101011111010010100000, degeneracy of optimal solutions = 1, first excited energy = -15.097691588670775, gap = 0.021468715681042028, first excited state = 101011111011010100000, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.44768036305891, sdp lower bound ground energy = -15.44768036305891, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["111010111010010000000", "111011111010010000000", "101010111010010100000", "111010111010010100000", "101011111010010100000", "111011111010010100000", "101011111001010100000", "101010111011010100000", "101011111011010100000", "101011111001010110000", "001100110101101111000", "001101110101101111000", "001000110001111111000", "001001110001111111000", "111010111010010000010", "111011111010010000010", "101011011010010100010", "101010111010010100010", "111010111010010100010", "101011111010010100010", "111011111010010100010", "101011011011010100010", "101010111011010100010", "101011111011010100010", "101011111001010110010", "001100010101101111010", "001100110101101111010", "001000110001111111010", "111011111010010000001", "101011101010010100001", "101011111010010100001", "111011111010010100001", "101011101001010100001", "101011101011010100001", "101011111011010100001", "100011001010010100101", "101011001010010100101", "100011001001010100101", "101011001001010100101", "100011001011010100101", "101011001011010100101", "100011101011010100101", "100011001010010100111", "110011001010010100111", "101011001010010100111", "100011001001010100111", "101011001001010100111", "100010001011010100111", "101010001011010100111", "100011001011010100111", "101011001011010100111"]
-8.167930951980471
0.2545198932607634 15
0.2803423362608842 15 1
0.05067933063485647 15 3
0.2380978290168662 2
0.2749536502109214 13
0.47829354187780415 6 18
0.22494897185050589 6 19
0.09844445774702626 6 2
0.4929374789314136 18 7
0.3510611069576318 18 2
0.130747760978482 16 20
0.30814338773800243 16 0
0.20163519154105836 16 10
0.4715243469090174 20 7
0.13895208827178857 20 19
0.0722225400191231 7 11
0.35915455092316817 4 12
0.17032717850099538 4 14
0.4580621912701787 4 17
0.46726572631924734 12 8
0.01427452760631226 12 9
0.17651159907530883 3 10
0.35573004928900076 3 13
0.16444378302235246 10 11
0.49563007051815455 13 9
0.28602509503573026 8 9
0.0006502014898379094 8 14
0.07081194157044868 5 19
0.07249714424964948 5 1
0.1906260447584519 5 17
0.22367818081440122 0 14
0.3688067901301348 0 17
0.22593196520095554 1 11
